252	1
253	0
254	2
255	0
256	0
257	0
258	0
259	0
260	1
261	0
262	0
263	2
264	0
265	0
266	1
267	2
268	1
269	0
270	3
271	2
272	0
273	1
274	2
275	1
276	2
277	2
278	1
279	0
280	1
281	1
282	1
283	1
284	1
285	3
286	0
287	1
288	1
289	3
290	2
291	2
292	4
293	2
294	1
295	2
296	1
297	0
298	0
299	1
300	1
301	1
302	1
303	0
304	0
305	0
306	1
307	0
308	2
309	0
310	1
311	0
312	0
313	1
314	0
315	0
316	0
317	1
318	0
319	0
320	1
321	0
322	1
323	0
324	2
325	1
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	1
345	0
346	0
347	1
348	0
349	1
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	1
358	0
359	0
360	0
361	0
362	0
363	0
364	1
365	0
366	0
367	1
368	1
369	0
370	0
371	1
372	0
373	2
374	0
375	1
376	1
377	1
378	0
379	0
380	1
381	1
382	0
383	1
384	1
385	0
386	1
387	0
388	0
389	2
390	1
391	1
392	1
393	0
394	1
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	2
404	0
405	0
406	0
407	0
408	0
409	2
410	0
411	0
412	0
413	2
414	0
415	0
416	0
417	2
418	0
419	3
420	0
421	2
422	2
423	3
424	3
425	0
426	2
427	0
428	0
429	0
430	1
431	1
432	0
433	1
434	0
435	0
436	2
437	0
438	1
439	1
440	0
441	0
442	0
443	0
444	0
445	1
446	1
447	0
448	0
449	0
450	0
451	1
452	0
453	0
454	1
455	0
456	0
457	0
458	3
459	0
460	0
461	0
462	1
463	0
464	1
465	0
466	0
467	0
468	1
469	0
470	0
471	0
472	0
473	0
474	0
475	1
476	1
477	0
478	0
479	1
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	1
490	0
491	0
492	1
493	0
494	0
495	1
496	0
497	0
498	0
499	0
500	0
501	1
502	1
503	0
504	0
505	0
506	0
507	0
508	0
509	1
510	0
511	0
512	0
513	1
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	1
526	0
527	1
528	0
